Country,Year,Palma ratio (before tax) (World Inequality Database)
Algeria,2007,4.1275687
Algeria,2008,3.601581
Algeria,2009,3.414264
Algeria,2010,3.2063954
Algeria,2011,2.9584486
Algeria,2022,3.8993711
Algeria,2023,3.7681608
Andorra,1980,2.4335349
Andorra,1981,2.4171042
Andorra,1982,2.4415781
Andorra,1983,2.4231057
Andorra,1984,2.491228
Andorra,1985,2.565964
Andorra,1986,2.493865
Andorra,1987,2.469605
Andorra,1988,2.3852942
Andorra,1989,2.4292102
Andorra,1990,2.3774688
Andorra,1991,2.3439767
Andorra,1992,2.4739196
Andorra,1993,2.5970497
Andorra,1994,2.7556453
Andorra,1995,2.69586
Andorra,1996,2.709395
Andorra,1997,2.8462796
Andorra,1998,2.825384
Andorra,1999,2.8400974
Andorra,2000,2.9396694
Andorra,2001,2.8897119
Andorra,2002,2.820701
Andorra,2003,2.9210083
Andorra,2004,3.1285715
Andorra,2005,3.0812228
Andorra,2006,3.1616871
Andorra,2007,3.0855432
Andorra,2008,2.801964
Andorra,2009,2.6891565
Andorra,2010,2.9982934
Andorra,2011,3.0250216
Andorra,2012,2.9553266
Andorra,2013,3.024454
Andorra,2014,3.0807726
Andorra,2015,3.0585663
Andorra,2016,3.0415585
Andorra,2017,3.0231361
Andorra,2018,2.9797125
Andorra,2019,2.9207673
Andorra,2020,2.9244967
Andorra,2021,3.0110168
Andorra,2022,3.0075886
Andorra,2023,3.0075886
Angola,1995,10.152249
Angola,2000,10.067125
Angola,2008,5.6934733
Angola,2018,9.641666
Angola,2022,9.588039
Angola,2023,9.588039
Anguilla,1980,11.876858
Anguilla,1981,11.925373
Anguilla,1982,11.976445
Anguilla,1983,12.027957
Anguilla,1984,12.103896
Anguilla,1985,12.156522
Anguilla,1986,12.209607
Anguilla,1987,12.287912
Anguilla,1988,12.342163
Anguilla,1989,12.510067
Anguilla,1990,12.566292
Anguilla,1991,12.427617
Anguilla,1992,12.350332
Anguilla,1993,12.27373
Anguilla,1994,12.224669
Anguilla,1995,12.122539
Anguilla,1996,12.076419
Anguilla,1997,12.002174
Anguilla,1998,11.930736
Anguilla,1999,11.859914
Anguilla,2000,11.815054
Anguilla,2001,11.702991
Anguilla,2002,11.641791
Anguilla,2003,11.536017
Anguilla,2004,11.455696
Anguilla,2005,11.378151
Anguilla,2006,11.327044
Anguilla,2007,11.252609
Anguilla,2008,11.204166
Anguilla,2009,11.109731
Anguilla,2010,11.06405
Anguilla,2011,10.198077
Anguilla,2012,9.446043
Anguilla,2013,8.798646
Anguilla,2014,8.2137165
Anguilla,2015,7.7140694
Anguilla,2016,7.243902
Anguilla,2017,6.8385773
Anguilla,2018,6.462141
Anguilla,2019,6.12625
Anguilla,2020,5.887273
Anguilla,2021,5.887273
Anguilla,2022,5.887273
Anguilla,2023,5.887273
Antigua and Barbuda,1980,11.876858
Antigua and Barbuda,1981,11.925373
Antigua and Barbuda,1982,11.976445
Antigua and Barbuda,1983,12.027957
Antigua and Barbuda,1984,12.103896
Antigua and Barbuda,1985,12.156522
Antigua and Barbuda,1986,12.209607
Antigua and Barbuda,1987,12.287912
Antigua and Barbuda,1988,12.342163
Antigua and Barbuda,1989,12.510067
Antigua and Barbuda,1990,12.566292
Antigua and Barbuda,1991,12.427617
Antigua and Barbuda,1992,12.350332
Antigua and Barbuda,1993,12.27373
Antigua and Barbuda,1994,12.224669
Antigua and Barbuda,1995,12.122539
Antigua and Barbuda,1996,12.076419
Antigua and Barbuda,1997,12.002174
Antigua and Barbuda,1998,11.930736
Antigua and Barbuda,1999,11.859914
Antigua and Barbuda,2000,11.815054
Antigua and Barbuda,2001,11.702991
Antigua and Barbuda,2002,11.641791
Antigua and Barbuda,2003,11.536017
Antigua and Barbuda,2004,11.455696
Antigua and Barbuda,2005,11.378151
Antigua and Barbuda,2006,11.327044
Antigua and Barbuda,2007,11.252609
Antigua and Barbuda,2008,11.204166
Antigua and Barbuda,2009,11.109731
Antigua and Barbuda,2010,11.06405
Antigua and Barbuda,2011,10.198077
Antigua and Barbuda,2012,9.446043
Antigua and Barbuda,2013,8.798646
Antigua and Barbuda,2014,8.2137165
Antigua and Barbuda,2015,7.7140694
Antigua and Barbuda,2016,7.243902
Antigua and Barbuda,2017,6.8385773
Antigua and Barbuda,2018,6.462141
Antigua and Barbuda,2019,6.12625
Antigua and Barbuda,2020,5.887273
Antigua and Barbuda,2021,5.887273
Antigua and Barbuda,2022,5.887273
Antigua and Barbuda,2023,5.887273
Argentina,2001,14.636103
Argentina,2002,14.823361
Argentina,2003,8.101666
Argentina,2004,7.002994
Argentina,2005,6.462751
Argentina,2006,5.908479
Argentina,2007,6.0527706
Argentina,2008,5.882503
Argentina,2009,5.466156
Argentina,2010,5.3236713
Argentina,2011,4.8395905
Argentina,2012,4.3103824
Argentina,2013,4.4
Argentina,2014,4.72759
Argentina,2015,4.921323
Argentina,2016,5.114094
Argentina,2017,4.5708246
Argentina,2018,4.840355
Argentina,2022,4.4255104
Argentina,2023,4.4255104
Armenia,1996,4.5686274
Armenia,1999,3.6088743
Armenia,2002,3.2226415
Armenia,2003,3.0257328
Armenia,2004,3.6099684
Armenia,2005,3.5466564
Armenia,2006,2.3880982
Armenia,2007,2.582365
Armenia,2008,2.3667529
Armenia,2009,2.4448051
Armenia,2010,2.5614617
Armenia,2011,2.3386683
Armenia,2012,2.3360813
Armenia,2013,2.6305084
Armenia,2014,2.7973444
Armenia,2015,2.8468084
Armenia,2016,3.0692015
Armenia,2017,3.944125
Armenia,2018,3.3006089
Armenia,2022,2.7123287
Armenia,2023,2.7150686
Aruba,1980,11.876858
Aruba,1981,11.925373
Aruba,1982,11.976445
Aruba,1983,12.027957
Aruba,1984,12.103896
Aruba,1985,12.156522
Aruba,1986,12.209607
Aruba,1987,12.287912
Aruba,1988,12.342163
Aruba,1989,12.510067
Aruba,1990,12.566292
Aruba,1991,12.427617
Aruba,1992,12.350332
Aruba,1993,12.27373
Aruba,1994,12.224669
Aruba,1995,12.122539
Aruba,1996,12.076419
Aruba,1997,12.002174
Aruba,1998,11.930736
Aruba,1999,11.859914
Aruba,2000,11.815054
Aruba,2001,11.702991
Aruba,2002,11.641791
Aruba,2003,11.536017
Aruba,2004,11.455696
Aruba,2005,11.378151
Aruba,2006,11.327044
Aruba,2007,11.252609
Aruba,2008,11.204166
Aruba,2009,11.109731
Aruba,2010,11.06405
Aruba,2011,10.198077
Aruba,2012,9.446043
Aruba,2013,8.798646
Aruba,2014,8.2137165
Aruba,2015,7.7140694
Aruba,2016,7.243902
Aruba,2017,6.8385773
Aruba,2018,6.462141
Aruba,2019,6.12625
Aruba,2020,5.887273
Aruba,2021,5.887273
Aruba,2022,5.887273
Aruba,2023,5.887273
Asia (WID),1980,9.604235
Asia (WID),1981,9.244445
Asia (WID),1982,8.417041
Asia (WID),1983,8.681957
Asia (WID),1984,8.014451
Asia (WID),1985,8.158892
Asia (WID),1986,8.240413
Asia (WID),1987,8.172059
Asia (WID),1988,8.468373
Asia (WID),1989,8.431579
Asia (WID),1990,8.566465
Asia (WID),1991,8.95
Asia (WID),1992,8.87037
Asia (WID),1993,8.388971
Asia (WID),1994,8.223032
Asia (WID),1995,8.1190815
Asia (WID),1996,8.195402
Asia (WID),1997,7.8593316
Asia (WID),1998,7.446524
Asia (WID),1999,7.4751678
Asia (WID),2000,7.8270574
Asia (WID),2001,7.966054
Asia (WID),2002,8.101156
Asia (WID),2003,8.128093
Asia (WID),2004,8.208211
Asia (WID),2005,8.3467865
Asia (WID),2006,8.282089
Asia (WID),2007,8.3363495
Asia (WID),2008,8.356601
Asia (WID),2009,7.9131074
Asia (WID),2010,8.008995
Asia (WID),2011,8.119697
Asia (WID),2012,7.9623494
Asia (WID),2013,7.8697605
Asia (WID),2014,7.705795
Asia (WID),2015,7.6435933
Asia (WID),2016,7.6464496
Asia (WID),2017,7.6503706
Asia (WID),2018,7.8056803
Asia (WID),2019,7.568282
Asia (WID),2020,7.4803495
Asia (WID),2021,7.556701
Asia (WID),2022,7.82406
Asia (WID),2023,7.552786
Asia (excluding Middle East) (WID),1980,6.1703787
Asia (excluding Middle East) (WID),1981,6.111111
Asia (excluding Middle East) (WID),1982,6.0576496
Asia (excluding Middle East) (WID),1983,6.167604
Asia (excluding Middle East) (WID),1984,6.0011063
Asia (excluding Middle East) (WID),1985,6.11435
Asia (excluding Middle East) (WID),1986,6.385598
Asia (excluding Middle East) (WID),1987,6.4711423
Asia (excluding Middle East) (WID),1988,6.627545
Asia (excluding Middle East) (WID),1989,6.845777
Asia (excluding Middle East) (WID),1990,6.9361963
Asia (excluding Middle East) (WID),1991,7.1007557
Asia (excluding Middle East) (WID),1992,7.147959
Asia (excluding Middle East) (WID),1993,7.0806656
Asia (excluding Middle East) (WID),1994,7.0850515
Asia (excluding Middle East) (WID),1995,7.0140667
Asia (excluding Middle East) (WID),1996,6.821918
Asia (excluding Middle East) (WID),1997,6.635697
Asia (excluding Middle East) (WID),1998,6.337662
Asia (excluding Middle East) (WID),1999,6.320331
Asia (excluding Middle East) (WID),2000,6.5158153
Asia (excluding Middle East) (WID),2001,6.645601
Asia (excluding Middle East) (WID),2002,6.9119897
Asia (excluding Middle East) (WID),2003,6.836735
Asia (excluding Middle East) (WID),2004,6.8405614
Asia (excluding Middle East) (WID),2005,6.9908853
Asia (excluding Middle East) (WID),2006,6.9284787
Asia (excluding Middle East) (WID),2007,7.0211363
Asia (excluding Middle East) (WID),2008,7.0319576
Asia (excluding Middle East) (WID),2009,6.929615
Asia (excluding Middle East) (WID),2010,7.0487146
Asia (excluding Middle East) (WID),2011,7.165981
Asia (excluding Middle East) (WID),2012,7.025921
Asia (excluding Middle East) (WID),2013,6.9945354
Asia (excluding Middle East) (WID),2014,7.0455174
Asia (excluding Middle East) (WID),2015,7.0440164
Asia (excluding Middle East) (WID),2016,7.0666666
Asia (excluding Middle East) (WID),2017,7.1328673
Asia (excluding Middle East) (WID),2018,7.216292
Asia (excluding Middle East) (WID),2019,6.955923
Asia (excluding Middle East) (WID),2020,6.9806895
Asia (excluding Middle East) (WID),2021,6.98615
Asia (excluding Middle East) (WID),2022,7.2107496
Asia (excluding Middle East) (WID),2023,7.0180306
Australia,1911,4.7458506
Australia,1912,4.821591
Australia,1913,4.1980624
Australia,1914,3.8108108
Australia,1915,3.4788306
Australia,1916,2.847764
Australia,1917,2.9301436
Australia,1918,2.992293
Australia,1919,4.760181
Australia,1920,3.4176707
Australia,1921,4.170784
Australia,1922,3.657436
Australia,1923,4.23301
Australia,1924,4.1989245
Australia,1925,4.001058
Australia,1926,3.8683386
Australia,1927,4.1860213
Australia,1928,4.3090315
Australia,1929,3.651282
Australia,1930,3.2060845
Australia,1931,3.0164092
Australia,1932,2.9865255
Australia,1933,3.469285
Australia,1934,3.485887
Australia,1935,3.5861366
Australia,1936,3.9788582
Australia,1937,3.231527
Australia,1938,3.4909275
Australia,1939,3.6772866
Australia,1940,3.4652567
Australia,1941,3.6875641
Australia,1942,3.6040816
Australia,1943,3.6206543
Australia,1944,3.1545987
Australia,1945,2.8043478
Australia,1946,3.199215
Australia,1947,3.436747
Australia,1948,3.3977957
Australia,1949,3.4281406
Australia,1950,3.371601
Australia,1951,2.5646067
Australia,1952,2.5214953
Australia,1953,2.4730983
Australia,1954,2.4248848
Australia,1955,2.3858845
Australia,1956,2.4326568
Australia,1957,2.1996353
Australia,1958,2.8934348
Australia,1959,2.6669767
Australia,1960,2.6443825
Australia,1961,2.6601307
Australia,1962,2.736544
Australia,1963,2.7954328
Australia,1964,2.6825397
Australia,1965,2.6302133
Australia,1966,2.515511
Australia,1967,2.5402193
Australia,1968,2.491833
Australia,1969,2.4333036
Australia,1970,2.398041
Australia,1971,2.4668484
Australia,1972,2.3901787
Australia,1973,2.284965
Australia,1974,2.1689537
Australia,1975,2.0895905
Australia,1976,2.0294614
Australia,1977,2.0345118
Australia,1978,2.0210261
Australia,1979,2.072034
Australia,1980,2.1319623
Australia,1981,2.1323025
Australia,1982,2.1968503
Australia,1983,2.1422415
Australia,1984,2.1884184
Australia,1985,2.2254133
Australia,1986,2.346975
Australia,1987,2.5718231
Australia,1988,2.7849057
Australia,1989,2.5344203
Australia,1990,2.4092941
Australia,1991,2.6265488
Australia,1992,2.517182
Australia,1993,2.637566
Australia,1994,2.7258065
Australia,1995,2.7566845
Australia,1996,2.7089162
Australia,1997,2.7918918
Australia,1998,2.8446069
Australia,1999,2.8887858
Australia,2000,2.9841566
Australia,2001,2.7919228
Australia,2002,3.106464
Australia,2003,2.9494128
Australia,2004,3.0480943
Australia,2005,3.2181304
Australia,2006,3.1876173
Australia,2007,3.121929
Australia,2008,3.2783604
Australia,2009,3.231685
Australia,2010,3.21875
Australia,2011,3.2027273
Australia,2012,3.217232
Australia,2013,3.3487277
Australia,2014,3.246054
Australia,2015,3.3021924
Australia,2016,3.1911488
Australia,2017,3.2713473
Australia,2018,3.1532779
Australia,2022,3.256783
Australia,2023,3.167147
Austria,2004,1.9645599
Austria,2005,2.1393342
Austria,2006,2.3634021
Austria,2007,2.1521196
Austria,2008,2.1520395
Austria,2009,2.1118011
Austria,2010,2.1093848
Austria,2011,2.0311928
Austria,2012,1.8452451
Austria,2013,1.8418278
Austria,2014,2.0048194
Austria,2015,1.9721718
Austria,2016,2.0458155
Austria,2022,2.1833742
Austria,2023,2.0647483
Azerbaijan,1995,3.814982
Azerbaijan,2002,2.1596935
Azerbaijan,2003,2.1480381
Azerbaijan,2004,2.1339493
Azerbaijan,2022,2.1381311
Azerbaijan,2023,2.1304348
Bahamas,2022,8.932758
Bahamas,2023,8.932758
Bahrain,1995,6.8562655
Bahrain,2005,8.415362
Bahrain,2015,7.395109
Bahrain,2022,7.310742
Bahrain,2023,7.26242
Bangladesh,1983,2.339204
Bangladesh,1985,2.5482368
Bangladesh,1988,2.800988
Bangladesh,1991,2.5657804
Bangladesh,1995,3.5059383
Bangladesh,2000,3.5540211
Bangladesh,2005,3.8718832
Bangladesh,2010,3.4416
Bangladesh,2016,3.1239731
Bangladesh,2022,3.140824
Bangladesh,2023,3.1187453
Barbados,1980,11.876858
Barbados,1981,11.925373
Barbados,1982,11.976445
Barbados,1983,12.027957
Barbados,1984,12.103896
Barbados,1985,12.156522
Barbados,1986,12.209607
Barbados,1987,12.287912
Barbados,1988,12.342163
Barbados,1989,12.510067
Barbados,1990,12.566292
Barbados,1991,12.427617
Barbados,1992,12.350332
Barbados,1993,12.27373
Barbados,1994,12.224669
Barbados,1995,12.122539
Barbados,1996,12.076419
Barbados,1997,12.002174
Barbados,1998,11.930736
Barbados,1999,11.859914
Barbados,2000,11.815054
Barbados,2001,11.702991
Barbados,2002,11.641791
Barbados,2003,11.536017
Barbados,2004,11.455696
Barbados,2005,11.378151
Barbados,2006,11.327044
Barbados,2007,11.252609
Barbados,2008,11.204166
Barbados,2009,11.109731
Barbados,2010,11.06405
Barbados,2011,10.198077
Barbados,2012,9.446043
Barbados,2013,8.798646
Barbados,2014,8.2137165
Barbados,2015,7.7140694
Barbados,2016,7.243902
Barbados,2017,6.8385773
Barbados,2018,6.462141
Barbados,2019,6.12625
Barbados,2020,5.887273
Barbados,2021,5.887273
Barbados,2022,5.887273
Barbados,2023,5.887273
Belarus,1993,1.3413371
Belarus,1995,2.0119832
Belarus,1999,2.543662
Belarus,2000,2.4770706
Belarus,2001,2.2567394
Belarus,2002,2.2227848
Belarus,2003,2.0645359
Belarus,2004,1.8959672
Belarus,2005,1.9475254
Belarus,2006,1.9524093
Belarus,2007,2.2342858
Belarus,2008,2.1477556
Belarus,2009,2.0432172
Belarus,2010,2.013261
Belarus,2011,2.3204708
Belarus,2012,2.0433214
Belarus,2013,1.7144402
Belarus,2014,1.8364146
Belarus,2015,1.6749594
Belarus,2016,1.6921833
Belarus,2017,1.7515118
Belarus,2018,1.7094339
Belarus,2022,1.705946
Belarus,2023,1.7044841
Belgium,1985,2.2085931
Belgium,1988,2.4506838
Belgium,1991,2.2658758
Belgium,1992,2.2620056
Belgium,1993,2.2519298
Belgium,1994,2.3801296
Belgium,1995,2.2975266
Belgium,1996,2.3761733
Belgium,1997,2.3097596
Belgium,1998,2.3928046
Belgium,1999,2.3419726
Belgium,2000,2.4578314
Belgium,2001,2.389177
Belgium,2002,2.2971594
Belgium,2003,2.3883421
Belgium,2004,2.3263235
Belgium,2005,2.2487597
Belgium,2006,2.2521067
Belgium,2007,2.301188
Belgium,2008,2.101945
Belgium,2009,2.0821452
Belgium,2010,2.1723657
Belgium,2011,2.1454294
Belgium,2012,2.248927
Belgium,2013,2.1972125
Belgium,2014,2.3030303
Belgium,2015,2.2944565
Belgium,2016,2.2557976
Belgium,2017,2.2240896
Belgium,2022,2.1933515
Belgium,2023,2.197556
Belize,2022,8.932758
Belize,2023,8.932758
Benin,2003,4.697947
Benin,2011,5.8707094
Benin,2015,7.5475864
Benin,2022,3.6878216
Benin,2023,3.6878216
Bermuda,1980,2.6246269
Bermuda,1981,2.6372476
Bermuda,1982,2.649925
Bermuda,1983,2.663411
Bermuda,1984,2.6741912
Bermuda,1985,2.6898112
Bermuda,1986,2.7034795
Bermuda,1987,2.71721
Bermuda,1988,2.731763
Bermuda,1989,2.7477133
Bermuda,1990,2.762414
Bermuda,1991,2.7839694
Bermuda,1992,2.8097785
Bermuda,1993,2.829771
Bermuda,1994,2.851145
Bermuda,1995,2.872519
Bermuda,1996,2.89016
Bermuda,1997,2.9099925
Bermuda,1998,2.929062
Bermuda,1999,2.945122
Bermuda,2000,2.9634147
Bermuda,2001,3.0989869
Bermuda,2002,3.238437
Bermuda,2003,3.3836734
Bermuda,2004,3.5313284
Bermuda,2005,3.678053
Bermuda,2006,3.8296943
Bermuda,2007,3.9874887
Bermuda,2008,4.146252
Bermuda,2009,4.3115063
Bermuda,2010,4.479426
Bermuda,2011,4.5289016
Bermuda,2012,4.5726743
Bermuda,2013,4.616959
Bermuda,2014,4.6562195
Bermuda,2015,4.694882
Bermuda,2016,4.733927
Bermuda,2017,4.771372
Bermuda,2018,4.815
Bermuda,2019,4.8473897
Bermuda,2020,4.8849645
Bermuda,2021,4.8849645
Bermuda,2022,4.8849645
Bermuda,2023,4.8849645
Bhutan,2003,5.459821
Bhutan,2007,4.396857
Bhutan,2012,4.6034985
Bhutan,2017,3.8909092
Bhutan,2022,3.7043633
Bhutan,2023,3.6983986
Bolivia,2022,8.932758
Bolivia,2023,8.932758
Bonaire Sint Eustatius and Saba,1980,11.876858
Bonaire Sint Eustatius and Saba,1981,11.925373
Bonaire Sint Eustatius and Saba,1982,11.976445
Bonaire Sint Eustatius and Saba,1983,12.027957
Bonaire Sint Eustatius and Saba,1984,12.103896
Bonaire Sint Eustatius and Saba,1985,12.156522
Bonaire Sint Eustatius and Saba,1986,12.209607
Bonaire Sint Eustatius and Saba,1987,12.287912
Bonaire Sint Eustatius and Saba,1988,12.342163
Bonaire Sint Eustatius and Saba,1989,12.510067
Bonaire Sint Eustatius and Saba,1990,12.566292
Bonaire Sint Eustatius and Saba,1991,12.427617
Bonaire Sint Eustatius and Saba,1992,12.350332
Bonaire Sint Eustatius and Saba,1993,12.27373
Bonaire Sint Eustatius and Saba,1994,12.224669
Bonaire Sint Eustatius and Saba,1995,12.122539
Bonaire Sint Eustatius and Saba,1996,12.076419
Bonaire Sint Eustatius and Saba,1997,12.002174
Bonaire Sint Eustatius and Saba,1998,11.930736
Bonaire Sint Eustatius and Saba,1999,11.859914
Bonaire Sint Eustatius and Saba,2000,11.815054
Bonaire Sint Eustatius and Saba,2001,11.702991
Bonaire Sint Eustatius and Saba,2002,11.641791
Bonaire Sint Eustatius and Saba,2003,11.536017
Bonaire Sint Eustatius and Saba,2004,11.455696
Bonaire Sint Eustatius and Saba,2005,11.378151
Bonaire Sint Eustatius and Saba,2006,11.327044
Bonaire Sint Eustatius and Saba,2007,11.252609
Bonaire Sint Eustatius and Saba,2008,11.204166
Bonaire Sint Eustatius and Saba,2009,11.109731
Bonaire Sint Eustatius and Saba,2010,11.06405
Bonaire Sint Eustatius and Saba,2011,10.198077
Bonaire Sint Eustatius and Saba,2012,9.446043
Bonaire Sint Eustatius and Saba,2013,8.798646
Bonaire Sint Eustatius and Saba,2014,8.2137165
Bonaire Sint Eustatius and Saba,2015,7.7140694
Bonaire Sint Eustatius and Saba,2016,7.243902
Bonaire Sint Eustatius and Saba,2017,6.8385773
Bonaire Sint Eustatius and Saba,2018,6.462141
Bonaire Sint Eustatius and Saba,2019,6.12625
Bonaire Sint Eustatius and Saba,2020,5.887273
Bonaire Sint Eustatius and Saba,2021,5.887273
Bonaire Sint Eustatius and Saba,2022,5.887273
Bonaire Sint Eustatius and Saba,2023,5.887273
Bosnia and Herzegovina,1980,2.4298246
Bosnia and Herzegovina,1981,2.4325619
Bosnia and Herzegovina,1982,2.4325619
Bosnia and Herzegovina,1983,2.4298246
Bosnia and Herzegovina,1984,2.4278884
Bosnia and Herzegovina,1985,2.4278884
Bosnia and Herzegovina,1986,2.4270916
Bosnia and Herzegovina,1987,2.4251592
Bosnia and Herzegovina,1990,2.4251592
Bosnia and Herzegovina,2001,2.5699272
Bosnia and Herzegovina,2004,2.9613357
Bosnia and Herzegovina,2007,2.8399653
Bosnia and Herzegovina,2011,3.0593972
Bosnia and Herzegovina,2015,3.055409
Bosnia and Herzegovina,2022,2.942857
Bosnia and Herzegovina,2023,2.9488735
Botswana,1985,11.468926
Botswana,1993,15.579196
Botswana,2002,21.396923
Botswana,2009,16.390244
Botswana,2015,10.409894
Botswana,2022,10.386244
Botswana,2023,10.411661
Brazil,2001,10.084337
Brazil,2002,10.306229
Brazil,2003,9.915966
Brazil,2004,9.520525
Brazil,2005,10.440208
Brazil,2006,10.243197
Brazil,2007,9.220126
Brazil,2008,9.049005
Brazil,2009,8.949696
Brazil,2010,9.053272
Brazil,2011,9.158054
Brazil,2012,8.733824
Brazil,2013,8.427129
Brazil,2014,8.482659
Brazil,2015,9.103343
Brazil,2016,10.307693
Brazil,2017,10.413548
Brazil,2018,10.447842
Brazil,2019,9.787307
Brazil,2022,11.408478
Brazil,2023,11.408478
British Virgin Islands,1980,11.876858
British Virgin Islands,1981,11.925373
British Virgin Islands,1982,11.976445
British Virgin Islands,1983,12.027957
British Virgin Islands,1984,12.103896
British Virgin Islands,1985,12.156522
British Virgin Islands,1986,12.209607
British Virgin Islands,1987,12.287912
British Virgin Islands,1988,12.342163
British Virgin Islands,1989,12.510067
British Virgin Islands,1990,12.566292
British Virgin Islands,1991,12.427617
British Virgin Islands,1992,12.350332
British Virgin Islands,1993,12.27373
British Virgin Islands,1994,12.224669
British Virgin Islands,1995,12.122539
British Virgin Islands,1996,12.076419
British Virgin Islands,1997,12.002174
British Virgin Islands,1998,11.930736
British Virgin Islands,1999,11.859914
British Virgin Islands,2000,11.815054
British Virgin Islands,2001,11.702991
British Virgin Islands,2002,11.641791
British Virgin Islands,2003,11.536017
British Virgin Islands,2004,11.455696
British Virgin Islands,2005,11.378151
British Virgin Islands,2006,11.327044
British Virgin Islands,2007,11.252609
British Virgin Islands,2008,11.204166
British Virgin Islands,2009,11.109731
British Virgin Islands,2010,11.06405
British Virgin Islands,2011,10.198077
British Virgin Islands,2012,9.446043
British Virgin Islands,2013,8.798646
British Virgin Islands,2014,8.2137165
British Virgin Islands,2015,7.7140694
British Virgin Islands,2016,7.243902
British Virgin Islands,2017,6.8385773
British Virgin Islands,2018,6.462141
British Virgin Islands,2019,6.12625
British Virgin Islands,2020,5.887273
British Virgin Islands,2021,5.887273
British Virgin Islands,2022,5.887273
British Virgin Islands,2023,5.887273
Brunei,2005,2.567047
Brunei,2011,2.1964846
Brunei,2016,2.390276
Brunei,2022,2.3018746
Brunei,2023,2.3126214
Bulgaria,1980,2.5482595
Bulgaria,1981,2.5474684
Bulgaria,1982,2.5482595
Bulgaria,1983,2.546245
Bulgaria,1984,2.549842
Bulgaria,1985,2.5474684
Bulgaria,1986,2.5474684
Bulgaria,1987,2.5482595
Bulgaria,1988,2.5482595
Bulgaria,1989,2.5482595
Bulgaria,1990,2.5482595
Bulgaria,1991,2.546245
Bulgaria,1992,2.550633
Bulgaria,1993,2.546245
Bulgaria,1994,2.547826
Bulgaria,1995,2.549842
Bulgaria,1996,2.5801587
Bulgaria,1997,2.6394885
Bulgaria,1998,2.687299
Bulgaria,1999,2.7352226
Bulgaria,2000,2.741129
Bulgaria,2001,2.776518
Bulgaria,2006,2.836334
Bulgaria,2009,2.643326
Bulgaria,2010,2.7653294
Bulgaria,2011,2.7786202
Bulgaria,2012,3.1513426
Bulgaria,2013,2.7584143
Bulgaria,2014,3.0802224
Bulgaria,2015,3.1840837
Bulgaria,2016,3.5793045
Bulgaria,2017,3.8909092
Bulgaria,2018,3.8061225
Bulgaria,2022,3.2594638
Bulgaria,2023,3.2931855
Burkina Faso,1994,7.6800537
Burkina Faso,1998,8.669492
Burkina Faso,2003,6.713085
Burkina Faso,2009,5.0223804
Burkina Faso,2014,4.0216637
Burkina Faso,2022,4.3958726
Burkina Faso,2023,4.3958726
Burundi,1992,5.680272
Burundi,1998,5.6681767
Burundi,2006,3.6270492
Burundi,2013,4.6404276
Burundi,2022,4.389414
Burundi,2023,4.389414
Cambodia,2010,8.898119
Cambodia,2011,5.218646
Cambodia,2012,4.8523207
Cambodia,2013,4.952133
Cambodia,2022,5.202718
Cambodia,2023,5.2106457
Cameroon,1996,6.305523
Cameroon,2001,5.7004457
